10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:49:59.564 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1122ms
10:49:59.565 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.625 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1182ms
10:49:59.627 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.703 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1253ms
10:49:59.704 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.704 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1388ms
10:49:59.704 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.727 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1280ms
10:49:59.727 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.850 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1396ms
10:49:59.850 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.901 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1448ms
10:49:59.901 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.920 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1466ms
10:49:59.920 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:49:59.921 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1467ms
10:49:59.922 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:00.011 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|1557ms
