"Symbol","Description","UnderlyingSymbol","ReportDate","DateTime","TradeDate","Quantity","IBCommission","NetCash","ClosePrice","Notes/Codes","CostBasis","FifoPnlRealized","MtmPnl","Buy/Sell"
"JD","JD.COM INC-ADR","JD","20250306","20250306;025213","20250306","9","-1.000414","-415.720414","43.92","P","415.720414","0","-19.44","BUY"
"JD","JD.COM INC-ADR","JD","20250306","20250306;025255","20250306","1","-0.000046","-46.080046","43.92","P","46.080046","0","-2.16","BUY"
"PFE","PFIZER INC","PFE","20250305","20250305;103306","20250305","200","-1.0092","-5226.0092","25.94","","5226.0092","0","-37","BUY"
"AAPL  250314P00235000","AAPL 14MAR25 235 P","AAPL","20250307","20250307;103157","20250307","-1","-0.7182526","316.2817474","2.35","","-316.2817474","0","82","SELL"
"AAPL  250314P00235000","AAPL 14MAR25 235 P","AAPL","20250310","20250310;135709","20250310","1","-0.70665","-1018.70665","8.8327","","1018.70665","0","-134.73","BUY"
"AAPL  250321P00240000","AAPL 21MAR25 240 P","AAPL","20250307","20250307;103157","20250307","1","-0.70665","-685.70665","5.6638","","685.70665","0","-118.62","BUY"
"AAPL  250321P00240000","AAPL 21MAR25 240 P","AAPL","20250310","20250310;135709","20250310","-1","-0.7516682","1518.2483318","13.7915","","-1518.2483318","0","139.85","SELL"
"ABNB  250321C00140000","ABNB 21MAR25 140 C","ABNB","20250312","20250312;105919","20250312","-1","-0.7100238","20.2899762","0.2561","P","-20.2899762","0","-4.61","SELL"
"ABNB  250321C00140000","ABNB 21MAR25 140 C","ABNB","20250312","20250312;105919","20250312","-1","0.0299762","21.0299762","0.2561","P","-21.0299762","0","-4.61","SELL"
"ABNB  250321C00140000","ABNB 21MAR25 140 C","ABNB","20250312","20250312;121318","20250312","1","-0.66665","-26.66665","0.2561","P","26.66665","0","-0.39","BUY"
"ABNB  250321C00140000","ABNB 21MAR25 140 C","ABNB","20250312","20250312;121318","20250312","1","-0.00665","-26.00665","0.2561","P","26.00665","0","-0.39","BUY"
"ABNB  250321C00145000","ABNB 21MAR25 145 C","ABNB","20250312","20250312;105919","20250312","1","-0.70665","-10.70665","0.1005","P","10.70665","0","0.05","BUY"
"ABNB  250321C00145000","ABNB 21MAR25 145 C","ABNB","20250312","20250312;105919","20250312","1","0.03335","-9.96665","0.1005","P","9.96665","0","0.05","BUY"
"ABNB  250321C00145000","ABNB 21MAR25 145 C","ABNB","20250312","20250312;121318","20250312","-1","-0.6696902","8.3303098","0.1005","P","-8.3303098","0","-1.05","SELL"
"ABNB  250321C00145000","ABNB 21MAR25 145 C","ABNB","20250312","20250312;121318","20250312","-1","0.2903098","9.2903098","0.1005","P","-9.2903098","0","-1.05","SELL"
"ABNB  270115P00120000","ABNB 15JAN27 120 P","ABNB","20250312","20250312;105733","20250312","1","-0.70665","-1983.70665","19.1277","P","1983.70665","0","-70.23","BUY"
"ABNB  270115P00120000","ABNB 15JAN27 120 P","ABNB","20250312","20250312;105733","20250312","1","0.03335","-1982.96665","19.1277","P","1982.96665","0","-70.23","BUY"
